Task ID,Task Description,Skill Requirement,Task Deadline,Task Priority,Task Dependencies,Estimated Completion Time,Team Member ID,Team Member Skills,Team Member Workload
TASK-15596,Actually serve store.,Customer Support,2025-01-01,High,"['TASK-02981', 'TASK-00558']",6,TM-241,"['SEO', 'Python', 'Design', 'Finance', 'CSS']",1
TASK-15597,Lawyer raise election lay company art.,Teaching,2024-12-31,Low,"['TASK-13698', 'TASK-09857', 'TASK-03958']",8,TM-316,"['SEO', 'DevOps', 'Teaching', 'Editing', 'SQL']",9
TASK-15598,Per seven concern down morning camera.,Python,2024-12-25,Low,[],5,TM-315,"['CSS', 'C++', 'Graphic Design', 'SQL', 'Event Planning']",3
TASK-15599,Fly notice compare money daughter home our.,HTML,2025-01-19,High,[],3,TM-436,"['Finance', 'Java', 'Teaching', 'Event Planning']",18
TASK-15600,Probably among left thus stage thing carry activity.,Design,2025-01-06,Medium,"['TASK-02284', 'TASK-06905']",8,TM-022,"['Python', 'Data Analysis', 'C++', 'Marketing']",2
TASK-15601,Strong care blue represent PM.,Java,2025-01-12,Medium,"['TASK-04753', 'TASK-06843', 'TASK-00855']",6,TM-265,"['Finance', 'SQL', 'Data Analysis', 'SEO', 'CSS']",3
TASK-15602,Congress science force above along dog find.,DevOps,2024-12-26,Medium,[],8,TM-472,"['Editing', 'Finance', 'Data Analysis', 'Graphic Design', 'Design']",3
TASK-15603,Head author western.,Marketing,2024-12-27,Low,[],3,TM-473,"['Customer Support', 'Data Analysis', 'Python']",10
TASK-15604,Prove significant reason fire.,Design,2024-12-24,High,"['TASK-07456', 'TASK-14037']",4,TM-292,"['Teaching', 'SEO']",9
TASK-15605,Field what series easy.,SEO,2024-12-27,High,['TASK-05413'],1,TM-018,"['HTML', 'Marketing']",11
TASK-15606,Message this similar peace bar.,Data Analysis,2025-01-01,Low,"['TASK-08404', 'TASK-10897']",3,TM-417,"['Graphic Design', 'SQL']",1
TASK-15607,Ever drug reflect record while.,SQL,2025-01-07,Medium,['TASK-02898'],4,TM-252,"['Python', 'SQL', 'Java', 'SEO']",3
TASK-15608,Make already night.,Design,2025-01-12,Medium,[],3,TM-241,"['Graphic Design', 'Finance', 'HTML', 'Teaching']",3
TASK-15609,Occur down positive growth for.,SEO,2024-12-27,Medium,"['TASK-07148', 'TASK-12055', 'TASK-13682']",5,TM-499,"['C++', 'Design', 'Event Planning', 'Editing']",14
TASK-15610,Shake property eight second about design.,Finance,2024-12-25,High,['TASK-14122'],5,TM-446,"['Python', 'C++', 'CSS']",3
TASK-15611,Rise positive fire check be last use.,CSS,2025-01-11,Medium,"['TASK-12326', 'TASK-15177']",4,TM-005,"['SQL', 'C++', 'Customer Support']",2
TASK-15612,Push reveal color month surface be.,Python,2024-12-24,Medium,"['TASK-02609', 'TASK-10802', 'TASK-01436']",2,TM-254,"['Design', 'CSS', 'Data Analysis']",7
TASK-15613,Heavy book son season choice heart face.,Event Planning,2025-01-14,Medium,['TASK-11549'],7,TM-013,"['Customer Support', 'Finance', 'Editing']",20
TASK-15614,Successful less finish career market crime knowledge board.,Event Planning,2025-01-05,Medium,[],3,TM-185,"['HTML', 'Teaching', 'SEO', 'Design', 'DevOps']",1
TASK-15615,View meeting our risk reality for evidence.,SQL,2025-01-15,Low,[],7,TM-200,"['Python', 'Editing', 'Graphic Design']",0
TASK-15616,Everything while cup moment.,Finance,2024-12-29,Low,"['TASK-10071', 'TASK-09078']",3,TM-145,"['Java', 'SQL']",15
TASK-15617,Important eye ground glass try government.,DevOps,2025-01-20,Medium,['TASK-11896'],4,TM-411,"['SQL', 'Marketing', 'SEO', 'Event Planning', 'C++']",15
TASK-15618,Able myself tell those visit mother character thank.,CSS,2025-01-19,Low,['TASK-06683'],7,TM-154,"['Marketing', 'Teaching', 'HTML', 'Finance', 'DevOps']",3
TASK-15619,Bring chance history month heavy community sound.,Python,2025-01-10,Medium,[],1,TM-482,"['Teaching', 'Marketing', 'Design', 'Data Analysis', 'CSS']",3
TASK-15620,Those back company suffer.,Marketing,2025-01-04,High,"['TASK-11286', 'TASK-12506']",7,TM-311,"['Marketing', 'CSS']",0
TASK-15621,Public these however individual however according suffer.,Editing,2025-01-02,Low,[],4,TM-344,"['Marketing', 'SEO']",14
TASK-15622,Responsibility free college attention expert.,Python,2025-01-10,Low,"['TASK-03864', 'TASK-03012', 'TASK-00742']",5,TM-303,"['HTML', 'SEO']",4
TASK-15623,Successful different mission fund.,Editing,2025-01-09,Medium,['TASK-03157'],1,TM-364,"['Data Analysis', 'Teaching', 'Graphic Design', 'Customer Support', 'SQL']",9
TASK-15624,Occur evidence what responsibility natural discover glass.,Finance,2024-12-24,Low,['TASK-09229'],7,TM-152,"['Editing', 'C++', 'Teaching']",15
TASK-15625,Meet challenge where catch fact option defense force.,HTML,2025-01-20,Low,"['TASK-04826', 'TASK-13526']",7,TM-085,"['Marketing', 'HTML', 'C++']",13
TASK-15626,Loss less shoulder.,Finance,2024-12-31,High,"['TASK-06981', 'TASK-06915']",5,TM-195,"['Customer Support', 'Marketing', 'Python', 'Design', 'SEO']",12
TASK-15627,Final relationship total provide sense.,SEO,2025-01-04,Medium,"['TASK-14201', 'TASK-05571', 'TASK-12254']",7,TM-447,"['Graphic Design', 'DevOps', 'SEO', 'SQL']",7
TASK-15628,Artist reveal third field.,SEO,2025-01-18,High,"['TASK-12061', 'TASK-08252']",4,TM-211,"['Finance', 'Design', 'Event Planning', 'DevOps']",13
TASK-15629,The win turn would yes.,Graphic Design,2025-01-06,Medium,[],2,TM-306,"['Python', 'Marketing', 'CSS', 'Data Analysis', 'Event Planning']",4
TASK-15630,Range old environment else ability.,Teaching,2024-12-30,Medium,['TASK-00343'],5,TM-169,"['Finance', 'Design']",16
TASK-15631,Change make care something.,SEO,2025-01-18,Low,"['TASK-01372', 'TASK-08395', 'TASK-09203']",8,TM-181,"['Design', 'CSS']",10
TASK-15632,Low face increase environment available support market.,DevOps,2025-01-09,High,['TASK-05890'],2,TM-002,"['Event Planning', 'Marketing', 'Editing', 'Customer Support']",19
TASK-15633,Heart coach us catch.,DevOps,2024-12-26,Low,"['TASK-14526', 'TASK-09319', 'TASK-05771']",2,TM-399,"['Python', 'Design', 'Customer Support', 'Event Planning', 'SEO']",12
TASK-15634,Fast black hour culture challenge most.,SQL,2025-01-21,High,"['TASK-08391', 'TASK-01543']",4,TM-125,"['C++', 'Customer Support', 'Data Analysis', 'CSS', 'Graphic Design']",7
TASK-15635,Test against often.,CSS,2025-01-10,High,[],8,TM-101,"['Teaching', 'Design', 'CSS', 'Editing']",4
TASK-15636,Sign third leg behind child myself role.,Teaching,2025-01-13,Medium,[],8,TM-269,"['Design', 'Graphic Design', 'SEO', 'Marketing', 'CSS']",18
TASK-15637,Find imagine give energy.,Data Analysis,2025-01-11,Low,[],4,TM-159,"['Editing', 'Finance', 'Design', 'HTML']",10
TASK-15638,Focus statement account none image everyone contain.,Marketing,2025-01-14,Medium,['TASK-02565'],7,TM-377,"['Python', 'Data Analysis', 'Graphic Design', 'SEO', 'DevOps']",13
TASK-15639,Wrong scientist itself agency position.,Event Planning,2025-01-01,Low,"['TASK-02607', 'TASK-03771']",6,TM-401,"['DevOps', 'Customer Support']",6
TASK-15640,Represent design television international next.,Design,2025-01-14,High,['TASK-03045'],6,TM-128,"['Editing', 'SEO']",7
TASK-15641,Now trial write result loss scene movie.,Graphic Design,2025-01-12,Medium,"['TASK-11115', 'TASK-00725', 'TASK-14522']",1,TM-410,"['Event Planning', 'Marketing']",5
TASK-15642,See decade especially ok spring them exactly air.,Finance,2025-01-20,Low,['TASK-05765'],7,TM-249,"['SEO', 'Teaching', 'Editing']",2
TASK-15643,Consumer hit too girl threat number behavior reason.,SEO,2025-01-15,Low,[],2,TM-272,"['CSS', 'Event Planning', 'Finance']",9
TASK-15644,Political section investment she none financial.,DevOps,2025-01-05,Medium,['TASK-10293'],2,TM-224,"['HTML', 'Marketing', 'Finance', 'Java']",2
TASK-15645,Plant left can.,Teaching,2025-01-13,Medium,"['TASK-10035', 'TASK-12655']",8,TM-330,"['HTML', 'Finance']",8
TASK-15646,Heavy girl raise anything happy fast visit.,HTML,2025-01-09,Low,"['TASK-11628', 'TASK-05528']",2,TM-413,"['C++', 'Graphic Design', 'SEO']",2
TASK-15647,Clear section can myself bring stop you.,Design,2025-01-18,Low,"['TASK-09255', 'TASK-09531']",4,TM-299,"['Data Analysis', 'Event Planning']",5
TASK-15648,Sea property while test.,C++,2025-01-07,Low,[],6,TM-310,"['HTML', 'Design']",1
TASK-15649,Space wife issue those.,Marketing,2025-01-01,Low,['TASK-09668'],3,TM-089,"['Event Planning', 'DevOps', 'Data Analysis', 'CSS']",8
TASK-15650,Water enter ball moment owner total improve.,Graphic Design,2025-01-16,High,"['TASK-13158', 'TASK-10177', 'TASK-12265']",1,TM-237,"['Finance', 'SEO', 'Design']",20
TASK-15651,Between should hand class.,DevOps,2025-01-20,High,['TASK-14226'],7,TM-370,"['Event Planning', 'SEO', 'Java']",7
TASK-15652,Long reveal state scientist pressure because.,Marketing,2024-12-27,High,"['TASK-03437', 'TASK-03834', 'TASK-06016']",1,TM-145,"['Data Analysis', 'Graphic Design', 'HTML', 'Python']",7
TASK-15653,Particular sell knowledge already.,Event Planning,2025-01-04,Low,"['TASK-04388', 'TASK-07770', 'TASK-02955']",6,TM-255,"['Finance', 'Design', 'Data Analysis', 'Python', 'Event Planning']",16
TASK-15654,View through eight it suffer.,Finance,2025-01-01,High,"['TASK-10891', 'TASK-08263']",6,TM-210,"['HTML', 'Finance']",11
TASK-15655,Describe Mr director scientist.,C++,2025-01-20,Medium,"['TASK-14034', 'TASK-10188', 'TASK-10721']",3,TM-310,"['DevOps', 'Event Planning', 'Java', 'Marketing']",12
TASK-15656,Free major road reason drop recent.,DevOps,2024-12-27,Medium,"['TASK-09872', 'TASK-05728']",6,TM-315,"['Java', 'DevOps']",10
TASK-15657,Boy world senior animal join both area.,SQL,2025-01-09,High,"['TASK-09735', 'TASK-09884', 'TASK-01968']",1,TM-316,"['CSS', 'Java']",7
TASK-15658,When attack pay crime model place.,Marketing,2025-01-14,High,"['TASK-15505', 'TASK-11951', 'TASK-11786']",1,TM-253,"['C++', 'Finance', 'SQL', 'Graphic Design']",16
TASK-15659,Particularly seven institution spring.,Teaching,2025-01-20,High,"['TASK-12261', 'TASK-14969', 'TASK-12016']",4,TM-076,"['Editing', 'C++', 'SEO']",16
TASK-15660,Agreement television fire bring manage.,Marketing,2025-01-10,High,"['TASK-13034', 'TASK-09155']",5,TM-071,"['HTML', 'Editing', 'C++']",18
TASK-15661,I rate small fine pay shoulder.,Python,2025-01-21,Medium,"['TASK-04424', 'TASK-09277', 'TASK-01993']",4,TM-036,"['DevOps', 'SQL']",14
TASK-15662,Clear imagine free food.,Design,2024-12-27,Low,[],7,TM-197,"['DevOps', 'Customer Support']",2
TASK-15663,North down writer character office possible perhaps.,Marketing,2025-01-08,Low,[],8,TM-238,"['Graphic Design', 'Java', 'Data Analysis']",9
TASK-15664,Claim sit work hotel.,Data Analysis,2025-01-19,Medium,"['TASK-03904', 'TASK-13240']",1,TM-167,"['DevOps', 'Event Planning', 'Design']",12
TASK-15665,Measure small into.,DevOps,2025-01-22,Medium,['TASK-05002'],2,TM-051,"['Teaching', 'Graphic Design', 'Editing']",6
TASK-15666,Degree act themselves realize stay book study.,C++,2025-01-05,Medium,"['TASK-07442', 'TASK-11308', 'TASK-07092']",3,TM-389,"['Event Planning', 'C++']",0
TASK-15667,Matter talk Democrat article us know indeed.,CSS,2024-12-24,Medium,"['TASK-06819', 'TASK-12405', 'TASK-08168']",7,TM-383,"['SEO', 'Data Analysis', 'Editing']",8
TASK-15668,Threat when debate enough all.,Graphic Design,2025-01-07,Medium,['TASK-01830'],7,TM-352,"['Data Analysis', 'Editing', 'Finance']",15
TASK-15669,Care miss top college think way.,Customer Support,2024-12-24,Low,"['TASK-12890', 'TASK-02571', 'TASK-05252']",2,TM-235,"['Teaching', 'Customer Support', 'Design', 'SQL', 'Java']",16
TASK-15670,Bar through effort lawyer.,CSS,2025-01-02,Low,"['TASK-02984', 'TASK-13224', 'TASK-09481']",3,TM-493,"['Java', 'Python', 'Design']",7
TASK-15671,Marriage read hard lead huge control.,Java,2024-12-31,High,['TASK-14139'],4,TM-252,"['SEO', 'Editing', 'Java', 'Data Analysis', 'C++']",20
TASK-15672,Suffer its suffer big before discuss detail.,DevOps,2024-12-31,Medium,"['TASK-05449', 'TASK-05954']",2,TM-130,"['Finance', 'SEO', 'Design', 'SQL', 'Event Planning']",1
TASK-15673,Support strong magazine meeting turn particular.,Data Analysis,2024-12-24,High,"['TASK-11882', 'TASK-00103', 'TASK-12020']",2,TM-377,"['Data Analysis', 'Python', 'SEO', 'Event Planning', 'Customer Support']",6
TASK-15674,Street force show section north suffer.,Java,2025-01-09,Low,[],6,TM-056,"['Graphic Design', 'SEO', 'Editing', 'HTML']",11
TASK-15675,Box response summer method continue show.,Design,2025-01-22,High,[],2,TM-016,"['Graphic Design', 'DevOps']",10
TASK-15676,Improve tree push make.,Marketing,2025-01-16,Low,[],2,TM-063,"['Graphic Design', 'CSS', 'Teaching', 'SQL']",0
TASK-15677,Tv blood choose task total hope.,Customer Support,2025-01-01,High,"['TASK-02746', 'TASK-12742']",4,TM-141,"['C++', 'DevOps', 'Design', 'CSS', 'Python']",15
TASK-15678,Professional car right true firm huge would.,DevOps,2025-01-13,Low,['TASK-15560'],3,TM-336,"['HTML', 'Python', 'Data Analysis', 'SQL']",0
TASK-15679,Thought organization one room skin.,Teaching,2025-01-01,Low,[],3,TM-238,"['SQL', 'Python', 'DevOps']",13
TASK-15680,Sing cultural certainly business.,Python,2024-12-27,High,"['TASK-06116', 'TASK-10695', 'TASK-11819']",8,TM-270,"['Event Planning', 'Editing', 'Marketing', 'C++', 'Java']",11
TASK-15681,Second little TV management Republican.,Data Analysis,2025-01-03,Low,"['TASK-02729', 'TASK-06629']",5,TM-333,"['Data Analysis', 'DevOps', 'SEO', 'Event Planning']",2
TASK-15682,Key employee whose decision travel you.,Marketing,2025-01-05,High,"['TASK-11214', 'TASK-04914']",2,TM-179,"['Finance', 'Design', 'Java', 'CSS', 'Teaching']",4
TASK-15683,Return away human put.,Graphic Design,2025-01-18,Low,"['TASK-05045', 'TASK-05293']",5,TM-036,"['Java', 'Marketing', 'Customer Support', 'Graphic Design', 'Python']",14
TASK-15684,Result accept right public have professional.,SQL,2025-01-21,High,[],1,TM-283,"['SEO', 'Marketing', 'Data Analysis', 'Graphic Design']",4
TASK-15685,Security give your.,CSS,2025-01-21,High,['TASK-05934'],3,TM-345,"['Data Analysis', 'Editing']",5
TASK-15686,There because building after series.,Editing,2025-01-12,Low,[],1,TM-025,"['Data Analysis', 'Teaching', 'Java']",17
TASK-15687,One yeah evidence response of.,SEO,2024-12-31,Medium,[],5,TM-138,"['Marketing', 'SEO', 'Python']",9
TASK-15688,Discover side happy wind simply nearly last talk.,SQL,2025-01-06,High,"['TASK-00355', 'TASK-06008', 'TASK-07353']",4,TM-129,"['DevOps', 'Data Analysis', 'Design', 'SQL', 'SEO']",18
TASK-15689,Technology care environmental its culture hold.,CSS,2024-12-24,Low,[],4,TM-160,"['CSS', 'Customer Support']",7
TASK-15690,Another stuff stay attorney control radio.,Java,2025-01-20,Low,['TASK-01704'],3,TM-382,"['Python', 'Teaching', 'Finance', 'SEO', 'Marketing']",11
TASK-15691,Own foreign mind structure offer loss whether hope.,Design,2025-01-16,Low,[],4,TM-077,"['Data Analysis', 'C++', 'HTML']",20
TASK-15692,Air design policy PM you.,Graphic Design,2025-01-17,Low,[],3,TM-450,"['Data Analysis', 'Teaching']",3
TASK-15693,Husband up nature color likely.,Design,2024-12-24,Low,[],6,TM-086,"['HTML', 'Graphic Design']",6
TASK-15694,Throughout author knowledge official.,Finance,2024-12-31,Low,['TASK-01809'],8,TM-143,"['C++', 'Marketing', 'Finance', 'Teaching', 'Java']",11
TASK-15695,Cause give my call source off cup no.,HTML,2025-01-20,Medium,[],5,TM-078,"['Java', 'SEO']",5
TASK-15696,Number employee value kid never focus.,Python,2025-01-22,High,[],4,TM-052,"['Event Planning', 'SEO']",16
TASK-15697,Congress couple anything.,Event Planning,2024-12-26,Low,"['TASK-08123', 'TASK-12481']",8,TM-460,"['Graphic Design', 'Python', 'Event Planning', 'CSS']",6
TASK-15698,Concern decade increase able happy check.,Python,2025-01-02,High,"['TASK-08997', 'TASK-06408', 'TASK-01645']",1,TM-120,"['Teaching', 'Python']",11
TASK-15699,Reality ball single forward.,SEO,2025-01-13,High,"['TASK-12599', 'TASK-04938', 'TASK-09680']",2,TM-260,"['Java', 'Finance', 'Graphic Design']",3
TASK-15700,Miss through necessary determine wrong still.,Editing,2025-01-08,Low,[],6,TM-082,"['Teaching', 'Editing']",8
TASK-15701,Care school final set perhaps agent account.,DevOps,2025-01-16,High,"['TASK-00079', 'TASK-12041', 'TASK-14000']",1,TM-245,"['Teaching', 'Java', 'SEO']",10
TASK-15702,Seek keep present claim.,CSS,2025-01-05,High,[],2,TM-317,"['Design', 'C++']",6
TASK-15703,Big above through room mention big.,Event Planning,2025-01-21,High,['TASK-04186'],1,TM-336,"['Event Planning', 'Customer Support', 'Marketing']",2
TASK-15704,Treat pretty foreign determine painting.,SQL,2024-12-26,High,['TASK-15089'],3,TM-329,"['Customer Support', 'SQL']",16
TASK-15705,Lead factor bag save.,Graphic Design,2025-01-02,Medium,"['TASK-14516', 'TASK-01072']",1,TM-434,"['Graphic Design', 'CSS']",2
TASK-15706,Task source rule run lay.,Finance,2024-12-26,Medium,['TASK-06872'],2,TM-189,"['Marketing', 'SEO']",18
TASK-15707,Own actually thought message third campaign particular.,Graphic Design,2025-01-14,High,['TASK-04129'],5,TM-277,"['Graphic Design', 'DevOps', 'Finance', 'Event Planning', 'SEO']",17
TASK-15708,Along throughout many information him choice.,Data Analysis,2024-12-31,Low,[],6,TM-412,"['CSS', 'Finance', 'Data Analysis', 'Editing', 'Teaching']",5
TASK-15709,Education herself necessary age executive.,Event Planning,2025-01-11,Low,"['TASK-13301', 'TASK-03862']",8,TM-091,"['Editing', 'Event Planning', 'Graphic Design', 'Data Analysis', 'C++']",1
TASK-15710,Require everybody late recent stand.,Data Analysis,2024-12-25,High,[],1,TM-060,"['Marketing', 'Teaching', 'Python', 'Event Planning']",8
TASK-15711,Treat talk four understand air that.,CSS,2025-01-13,Low,"['TASK-10626', 'TASK-01187']",6,TM-240,"['Marketing', 'Design', 'Java', 'CSS', 'Editing']",15
TASK-15712,Experience report cell culture guess.,Finance,2025-01-22,Medium,['TASK-08617'],7,TM-168,"['CSS', 'Marketing']",17
TASK-15713,South us need cell week among.,C++,2025-01-02,High,"['TASK-06609', 'TASK-09201']",4,TM-217,"['HTML', 'SEO', 'Editing', 'DevOps']",13
TASK-15714,Time garden big.,HTML,2025-01-17,High,[],7,TM-091,"['Design', 'Teaching', 'Finance', 'SEO', 'Java']",7
TASK-15715,Industry price accept drop win.,CSS,2025-01-19,Medium,[],2,TM-464,"['Editing', 'SEO', 'Design']",19
TASK-15716,Political activity power east expert wrong.,Design,2025-01-14,Medium,"['TASK-02398', 'TASK-07389']",2,TM-280,"['CSS', 'Finance', 'Editing']",10
TASK-15717,Process magazine left other continue.,Graphic Design,2025-01-06,Medium,['TASK-09052'],1,TM-049,"['Event Planning', 'Teaching', 'C++']",16
TASK-15718,Happen bill front blue even.,DevOps,2025-01-08,Medium,"['TASK-13994', 'TASK-13435', 'TASK-03856']",1,TM-069,"['Teaching', 'DevOps', 'Marketing']",9
TASK-15719,Action officer difference child.,HTML,2025-01-16,High,"['TASK-04177', 'TASK-11738', 'TASK-14741']",5,TM-174,"['SEO', 'Data Analysis', 'Editing', 'Event Planning']",10
TASK-15720,Everybody free home success international listen scientist.,Graphic Design,2025-01-18,High,"['TASK-09787', 'TASK-05101', 'TASK-06044']",6,TM-353,"['C++', 'HTML', 'Event Planning']",18
TASK-15721,Me recently voice foot bad issue.,SQL,2025-01-14,Low,"['TASK-06862', 'TASK-11681', 'TASK-14523']",3,TM-028,"['SEO', 'SQL', 'Marketing']",2
TASK-15722,Throw board both world.,Teaching,2025-01-18,Medium,[],8,TM-136,"['Data Analysis', 'SQL', 'C++', 'Teaching', 'Editing']",8
TASK-15723,Live none near subject all not few.,Customer Support,2025-01-17,Medium,"['TASK-04363', 'TASK-06936', 'TASK-01544']",8,TM-426,"['Data Analysis', 'Marketing', 'DevOps', 'Editing']",12
TASK-15724,Responsibility yeah step sport yes name herself walk.,Marketing,2024-12-29,Low,['TASK-07528'],2,TM-131,"['Design', 'SEO']",7
TASK-15725,Another list economic describe itself cost brother top.,Teaching,2024-12-29,High,"['TASK-11974', 'TASK-06112']",3,TM-176,"['Java', 'Marketing', 'Event Planning', 'Graphic Design']",10
TASK-15726,Conference fear how morning positive think pay actually.,Marketing,2025-01-20,Medium,"['TASK-05368', 'TASK-04618', 'TASK-12594']",8,TM-172,"['Marketing', 'Customer Support', 'CSS', 'Graphic Design']",9
TASK-15727,Buy Republican member political group adult pay control.,Marketing,2025-01-12,Low,"['TASK-13839', 'TASK-04354']",4,TM-160,"['Customer Support', 'Teaching']",7
TASK-15728,To every until significant security along.,DevOps,2024-12-28,Medium,"['TASK-10915', 'TASK-10444']",6,TM-351,"['Marketing', 'Event Planning']",8
TASK-15729,Bad later knowledge score manage.,Editing,2025-01-22,Low,['TASK-07100'],4,TM-156,"['Finance', 'Java', 'HTML', 'Editing']",12
TASK-15730,Campaign spring discover.,Graphic Design,2024-12-24,High,"['TASK-04634', 'TASK-10134', 'TASK-04890']",8,TM-279,"['Java', 'CSS', 'C++', 'Design']",4
TASK-15731,Process item including actually not still PM decision.,Event Planning,2024-12-29,Medium,[],5,TM-025,"['Java', 'Teaching']",12
TASK-15732,Natural participant building top anything cut citizen.,Teaching,2025-01-07,Low,"['TASK-12568', 'TASK-06639', 'TASK-09800']",2,TM-053,"['DevOps', 'Teaching']",13
TASK-15733,Your care create wonder degree.,Java,2024-12-28,Low,['TASK-09919'],5,TM-371,"['Editing', 'Finance', 'DevOps']",11
TASK-15734,Still own want modern ability seem.,Event Planning,2025-01-04,Medium,[],2,TM-135,"['Event Planning', 'DevOps', 'SQL']",17
TASK-15735,Level life data hit.,Java,2025-01-21,Medium,"['TASK-03285', 'TASK-08161']",6,TM-322,"['Editing', 'Teaching', 'Event Planning', 'Java', 'C++']",13
TASK-15736,Small tell throughout describe event after area.,Design,2025-01-14,Medium,"['TASK-02708', 'TASK-15290']",6,TM-476,"['Java', 'Teaching', 'Graphic Design']",8
TASK-15737,Water operation smile future.,Editing,2025-01-04,High,['TASK-01617'],1,TM-492,"['Editing', 'SQL', 'Finance', 'Design', 'Event Planning']",2
TASK-15738,Song at budget think worry.,Data Analysis,2025-01-19,Medium,"['TASK-11162', 'TASK-09666', 'TASK-04271']",2,TM-267,"['Data Analysis', 'SEO']",0
TASK-15739,Raise standard half its.,C++,2025-01-08,High,['TASK-04621'],2,TM-184,"['Finance', 'CSS']",2
TASK-15740,Media tend candidate make view agent cut opportunity.,Python,2025-01-20,High,[],6,TM-080,"['DevOps', 'Event Planning', 'Data Analysis']",9
TASK-15741,Modern month dinner eight along politics now.,Editing,2025-01-21,Medium,['TASK-08227'],8,TM-106,"['CSS', 'Teaching']",11
TASK-15742,Democratic structure hour.,Editing,2025-01-13,Medium,['TASK-02087'],3,TM-332,"['C++', 'Design', 'Finance']",0
TASK-15743,Approach both instead administration pass.,Python,2025-01-15,High,[],8,TM-274,"['Design', 'CSS', 'Editing', 'Finance', 'SQL']",20
TASK-15744,Book force paper.,Event Planning,2025-01-01,Low,"['TASK-04862', 'TASK-07023', 'TASK-13869']",8,TM-342,"['Graphic Design', 'Marketing', 'Customer Support', 'Python', 'C++']",10
TASK-15745,Year apply never recently range.,HTML,2024-12-28,Medium,"['TASK-03976', 'TASK-14815', 'TASK-09727']",1,TM-345,"['HTML', 'Data Analysis']",10
TASK-15746,Make issue picture west say determine Republican work.,Teaching,2024-12-25,Low,"['TASK-06609', 'TASK-14253', 'TASK-06604']",2,TM-434,"['HTML', 'Customer Support']",4
TASK-15747,None executive structure chance.,Editing,2025-01-11,Medium,"['TASK-14631', 'TASK-09438', 'TASK-01336']",7,TM-052,"['SQL', 'Python', 'Graphic Design']",6
TASK-15748,Raise law gun station nation.,Graphic Design,2025-01-03,High,['TASK-05000'],7,TM-453,"['Graphic Design', 'Teaching']",20
TASK-15749,Measure stop area play.,Editing,2024-12-31,Low,"['TASK-14537', 'TASK-00766', 'TASK-06442']",1,TM-475,"['SQL', 'Event Planning', 'Marketing']",0
TASK-15750,Rich return nothing question democratic purpose performance dinner.,Java,2024-12-30,Medium,[],5,TM-494,"['Editing', 'SQL', 'Graphic Design']",7
TASK-15751,Difficult size defense.,Marketing,2025-01-13,High,['TASK-13628'],6,TM-392,"['Editing', 'Java', 'Data Analysis']",2
TASK-15752,Peace simply often.,Data Analysis,2024-12-26,Low,"['TASK-15239', 'TASK-04505', 'TASK-04109']",4,TM-311,"['Editing', 'Customer Support', 'Finance', 'Teaching']",19
TASK-15753,Maintain note really Mr leg director begin.,DevOps,2024-12-29,Low,['TASK-15249'],3,TM-378,"['DevOps', 'Event Planning', 'Graphic Design', 'Finance']",16
TASK-15754,Book education speak.,Editing,2024-12-31,Low,"['TASK-01917', 'TASK-14060', 'TASK-04203']",2,TM-084,"['Finance', 'Graphic Design']",9
TASK-15755,Visit attorney strong condition newspaper garden right to.,Data Analysis,2024-12-24,High,"['TASK-13390', 'TASK-14856', 'TASK-11911']",2,TM-176,"['CSS', 'Customer Support']",12
TASK-15756,Learn really call director group save.,CSS,2025-01-21,Low,[],1,TM-077,"['Java', 'SEO']",20
TASK-15757,Case technology program green pattern.,Customer Support,2024-12-29,Low,[],6,TM-227,"['Finance', 'DevOps', 'Graphic Design']",9
TASK-15758,Act onto free space gun.,Teaching,2024-12-24,Medium,"['TASK-07740', 'TASK-03898']",8,TM-152,"['C++', 'Java', 'SEO', 'Editing']",3
TASK-15759,Day each close inside situation help over phone.,Graphic Design,2025-01-21,Medium,"['TASK-09162', 'TASK-07882', 'TASK-08041']",2,TM-110,"['C++', 'HTML', 'DevOps', 'Graphic Design', 'Java']",4
TASK-15760,Human apply Mrs teach market.,DevOps,2025-01-11,Medium,"['TASK-08854', 'TASK-09125', 'TASK-15510']",7,TM-366,"['Teaching', 'DevOps', 'Design', 'SQL', 'Customer Support']",13
TASK-15761,Staff decade everybody perform last everyone during strong.,Marketing,2025-01-09,Medium,"['TASK-07443', 'TASK-00825', 'TASK-00818']",3,TM-406,"['C++', 'Event Planning', 'Customer Support', 'Design']",17
TASK-15762,Fight seek and actually watch.,Customer Support,2025-01-03,Low,"['TASK-01726', 'TASK-00539']",4,TM-410,"['Marketing', 'SQL', 'Python', 'DevOps']",16
TASK-15763,Order standard or why record color tree who.,Finance,2024-12-31,Low,[],7,TM-228,"['Data Analysis', 'Editing']",19
TASK-15764,Analysis think minute ok.,HTML,2024-12-24,Low,['TASK-05039'],3,TM-338,"['Finance', 'Design', 'CSS']",13
TASK-15765,Environment learn receive value.,Marketing,2025-01-12,High,"['TASK-08323', 'TASK-10792']",8,TM-074,"['Data Analysis', 'Java']",15
TASK-15766,Country ten sound painting before audience.,SQL,2024-12-28,Low,"['TASK-01096', 'TASK-12160']",8,TM-204,"['Teaching', 'Event Planning', 'Data Analysis', 'Graphic Design']",13
TASK-15767,Career recently until ago blue plant.,Python,2025-01-06,High,[],2,TM-019,"['HTML', 'Event Planning', 'Design', 'DevOps']",7
